2026.05.19 - 13.53.38

creationTime:Fri Apr 03 00:00:00 UTC 2026-Fri Apr 03 23:59:59 UTC 2026 ,messageType:FPL 
Direction	 Temps de Création	 Prio	 FamilyId	 Destinataires	 First Recipient Address	 FilTim	 Origine	 Circuit	 EMID	 IMID	 Incomplete Pathname	 IPM Identificateur	 Type	 First Reported Recipient	 Code du Motif	 Code de Diagnostic	 Texte
Output	 2026-04-03 00:00:39.333	 FF	 341.1775174437.1481	 [FTTTZQZX]	 FTTTZQZX	 021158	 DRRNZPZX	 MTA-FCCC-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260403000037Z-3066	 ac8DJQA1KrX6	 	 MTCU-DRRR-1-20260403000037Z-3066:previd=341.1775174437.1481*/OU=DRRNZPZX/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.123	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040305590200046161	 [DRRRZQZX]	 DRRRZQZX	 030558	 LTBATHYQ	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040305590200046161	 ac9XLAAQZlgC	 	 SLCAMHS040305590200046130*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.138	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040305590200046161	 [DRRRZQZX]	 DRRRZQZX	 030558	 LTBATHYQ	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040305590200046161	 ac9XLAAa-2AA	 	 SLCAMHS040305590200046130*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.167	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047349-260403.060744	 [DRRRZQZX]	 DRRRZQZX	 030607	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047349-260403.060744	 ac9ZMgAVqUhJ	 	 62BB5C690000019D4CFB52A58929*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.176	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047350-260403.060916	 [DRRRZQZX]	 DRRRZQZX	 030609	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047350-260403.060916	 ac9ZjQAVqbNK	 	 62BB5C690000019D4CFB52A5892D*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.186	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260403060831Z-4343	 [DRRRZQZX]	 DRRRZQZX	 030609	 FTTTFDPA	 DRRRZQZX	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260403060831Z-4343	 ac9ZqgA2w1A4	 	 MTCU-FTTT-1-20260403060831Z-4343:previd=341.1775196511.27991*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.21	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047351-260403.061421	 [DRRRZQZX]	 DRRRZQZX	 030614	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047351-260403.061421	 ac9avgCsxFwG	 	 62BB5C690000019D4CFB52A58935*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.226	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306151900047224	 [DRRRZQZX]	 DRRRZQZX	 030615	 OLBAMEAW	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306151900047224	 ac9a=gBJSlQA	 	 SLCAMHS040306151900047193*/OU=OLBAMEAW/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.24	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306151900047224	 [DRRRZQZX]	 DRRRZQZX	 030615	 OLBAMEAW	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306151900047224	 ac9a=gBKS1oB	 	 SLCAMHS040306151900047193*/OU=OLBAMEAW/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.251	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047352-260403.061821	 [DRRRZQZX]	 DRRRZQZX	 030618	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047352-260403.061821	 ac9brgAVqQJN	 	 62BB5C690000019D4CFB52A58945*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.276	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047354-260403.062019	 [DRRRZQZX]	 DRRRZQZX	 030620	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047354-260403.062019	 ac9cJAAVqUpP	 	 62BB5C690000019D4CFB52A58956*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.289	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047355-260403.062153	 [DRRRZQZX]	 DRRRZQZX	 030621	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047355-260403.062153	 ac9cggAVqUxS	 	 62BB5C690000019D4CFB52A58960*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.329	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047356-260403.062339	 [DRRRZQZX]	 DRRRZQZX	 030623	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047356-260403.062339	 ac9c7AAVqYNU	 	 62BB5C690000019D4CFB52A58967*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.343	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047357-260403.062645	 [DRRRZQZX]	 DRRRZQZX	 030626	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047357-260403.062645	 ac9dpgAVqShW	 	 62BB5C690000019D4CFB52A5896B*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.377	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047358-260403.062819	 [DRRRZQZX]	 DRRRZQZX	 030628	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047358-260403.062819	 ac9eBAD9GKgB	 	 62BB5C690000019D4CFB52A58972*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.404	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260403062857Z-4458	 [DRRRZQZX]	 DRRRZQZX	 030630	 FTTTFDPA	 DRRRZQZX	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260403062857Z-4458	 ac9edgAvJi0A	 	 MTCU-FTTT-1-20260403062857Z-4458:previd=341.1775197737.28110*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.418	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306302000048146	 [DRRRZQZX]	 DRRRZQZX	 030630	 KDENXLDC	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306302000048146	 ac9efgAryZUB	 	 SLCAMHS040306302000048109*/OU=KDENXLDC/O=AFTN/PRMD=K/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.43	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306302000048146	 [DRRRZQZX]	 DRRRZQZX	 030630	 KDENXLDC	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306302000048146	 ac9efgA=L58A	 	 SLCAMHS040306302000048109*/OU=KDENXLDC/O=AFTN/PRMD=K/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.447	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306302900048160	 [DRRRZQZX]	 DRRRZQZX	 030630	 KARIXAAN	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306302900048160	 ac9eiABDGE4A	 	 SLCAMHS040306302900048123*/OU=KARIXAAN/O=AFTN/PRMD=K/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.485	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047359-260403.064732	 [DRRRZQZX]	 DRRRZQZX	 030647	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047359-260403.064732	 ac9ihQAVqTFn	 	 62BB5C690000019D4CFB52A58998*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.498	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306484300049169	 [DRRRZQZX]	 DRRRZQZX	 030648	 DAAGDAHX	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306484300049169	 ac9izQCy3pUA	 	 SLCAMHS040306484300049124*/CN=DAAGDAHX/OU=DAAG/O=DAAA/PRMD=DA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.541	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047360-260403.064845	 [DRRRZQZX]	 DRRRZQZX	 030648	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047360-260403.064845	 ac9izgAVqWFo	 	 62BB5C690000019D4CFB52A5899C*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.553	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047361-260403.065422	 [DRRRZQZX]	 DRRRZQZX	 030654	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047361-260403.065422	 ac9kHwAVqUJp	 	 62BB5C690000019D4CFB52A589A9*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.568	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306550900049579	 [DRRRZQZX]	 DRRRZQZX	 030655	 LTBATHYQ	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306550900049579	 ac9kTwAfKUAK	 	 SLCAMHS040306550900049533*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.579	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306550900049579	 [DRRRZQZX]	 DRRRZQZX	 030655	 LTBATHYQ	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306550900049579	 ac9kTwCgo1AA	 	 SLCAMHS040306550900049533*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.593	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306550900049579	 [DRRRZQZX]	 DRRRZQZX	 030655	 LTBATHYQ	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040306550900049579	 ac9kTwCgpE0A	 	 SLCAMHS040306550900049533*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.603	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047362-260403.065728	 [DRRRZQZX]	 DRRRZQZX	 030657	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047362-260403.065728	 ac9k2QAVqcNs	 	 62BB5C690000019D4CFB52A589BD*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.632	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E87D8B758F9	 [DRRRZQZX]	 DRRRZQZX	 030658	 DIAPZPZX	 DRRRZQZX	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E87D8B758F9	 ac9lLQAP2AjF	 	 LOC-ID:00E30E87D8B7596B*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.641	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047363-260403.065905	 [DRRRZQZX]	 DRRRZQZX	 030658	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047363-260403.065905	 ac9lOgAVqSRt	 	 62BB5C690000019D4CFB52A589CA*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.664	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260403070025Z-4599	 [DRRRZQZX]	 DRRRZQZX	 030701	 FTTTFDPA	 DRRRZQZX	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260403070025Z-4599	 ac9l1gCoH4YA	 	 MTCU-FTTT-1-20260403070025Z-4599:previd=341.1775199625.28255*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.678	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260403070406Z-1027	 [DRRRZQZX]	 DRRRZQZX	 030704	 DFFDFDPA	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260403070406Z-1027	 ac9mZwAVqZ9z	 	 MTCU-DFFF-1-20260403070406Z-1027:previd=341.1775199846.1015*/OU=DFFDFDPA/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.696	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047365-260403.070503	 [DRRRZQZX]	 DRRRZQZX	 030704	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047365-260403.070503	 ac9moADwxUkD	 	 62BB5C690000019D4CFB52A589ED*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.704	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047366-260403.070731	 [DRRRZQZX]	 DRRRZQZX	 030707	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047366-260403.070731	 ac9nNAAVqUx0	 	 62BB5C690000019D4CFB52A589FA*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.722	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307075700050460	 [DRRRZQZX]	 DRRRZQZX	 030707	 LTBATHYQ	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307075700050460	 ac9nTwAfKRU2	 	 SLCAMHS040307075700050405*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.736	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307075700050460	 [DRRRZQZX]	 DRRRZQZX	 030707	 LTBATHYQ	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307075700050460	 ac9nTwBbLiEA	 	 SLCAMHS040307075700050405*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.753	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307075700050460	 [DRRRZQZX]	 DRRRZQZX	 030707	 LTBATHYQ	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307075700050460	 ac9nTwBbLyIA	 	 SLCAMHS040307075700050405*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.762	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047367-260403.070846	 [DRRRZQZX]	 DRRRZQZX	 030708	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047367-260403.070846	 ac9nfwAVqWh1	 	 62BB5C690000019D4CFB52A58A01*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.771	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047368-260403.070933	 [DRRRZQZX]	 DRRRZQZX	 030709	 DFFDZPZX	 DRRRZQZX	 /PRMD=DF/ADMD=ICAO/C=XX/;bf-oua-cn1.0047368-260403.070933	 ac9nrgAVqX12	 	 62BB5C690000019D4CFB52A58A08*/OU=DFFDZPZX/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.815	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307171900050934	 [DRRRZQZX]	 DRRRZQZX	 030717	 KDENXLDC	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307171900050934	 ac9phADD4scA	 	 SLCAMHS040307171900050878*/OU=KDENXLDC/O=AFTN/PRMD=K/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.828	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307171900050934	 [DRRRZQZX]	 DRRRZQZX	 030717	 KDENXLDC	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307171900050934	 ac9phQDECQ0A	 	 SLCAMHS040307171900050878*/OU=KDENXLDC/O=AFTN/PRMD=K/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.837	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260403072055Z-4714	 [DRRRZQZX]	 DRRRZQZX	 030721	 FTTTFDPA	 DRRRZQZX	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260403072055Z-4714	 ac9qpABLsVYA	 	 MTCU-FTTT-1-20260403072055Z-4714:previd=341.1775200833.28374*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.853	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307224700051196	 [DRRRZQZX]	 DRRRZQZX	 030722	 KCMHEJAA	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307224700051196	 ac9qzQBYyksA	 	 SLCAMHS040307224700051137*/OU=KCMHEJAA/O=AFTN/PRMD=K/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:45.867	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307224700051196	 [DRRRZQZX]	 DRRRZQZX	 030722	 KCMHEJAA	 DRRRZQZX	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040307224700051196	 ac9qzQBbZVkA	 	 SLCAMHS040307224700051137*/OU=KCMHEJAA/O=AFTN/PRMD=K/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:49.26	 FF	 /PRMD=FK/ADMD=ICAO/C=XX/;MTA-FKKK-1-MTCU:00E30E881EB82B20	 [GOOVXKXX]	 GOOVXKXX	 030718	 FKYSZPZX	 MTA-GOOO-1	 /PRMD=FK/ADMD=ICAO/C=XX/;MTA-FKKK-1-MTCU:00E30E881EB82B20	 ac9q=wA2w6iV	 	 LOC-ID:00E30E881EB82BB8*/OU=FKYSZPZX/O=AFTN/PRMD=FK/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-03 07:23:53.107	 FF	 /PRMD=ANGOLA/ADMD=ICAO/C=XX/;LUANDA-MTA-MTCU:00E30E882F29446C	 [GOOVXKXX]	 GOOVXKXX	 030722	 KCMHEJAA	  	 /PRMD=ANGOLA/ADMD=ICAO/C=XX/;LUANDA-MTA-MTCU:00E30E882F29446C	 ac9rCQA2wxKW	 	 LOC-ID:00E30E882F2944C5*/OU=KCMHEJAA/O=AFTN/PRMD=K/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-N185QS-IG<CR><LF>-GL7T/M-SBDE1E2E3FGHIJ1J3J4J7M3P2RWXYZ/LB2D1<CR><LF>-HRYR1430<CR><LF>-N0519F400 RANA1D RANAG UB531 GOM UY476 EDBIV UT325 GOVEL UM215<CR><LF> ONUDA UG862 SOKMA/N0508F430 UG862 DIR UB730 BOD UM508 TGU UJ36<CR><LF> BSA UJ66 ALR UG30 SADAF L45 URIPO/N0514F330 L45 VLC N733<CR><LF> CLS/N0484F330 N733 CENTA/N0452F210 DCT PRADO<CR><LF>-LEMD0630 LEVC<CR><LF>-PBN/A1B1C2D2L1O2S2T1 NAV/SBAS RNP2 M1 Z1 P1 DAT/1FANSER2PDC SUR/A2<CR><LF> RSP180 DOF/260403 REG/N185QS EET/FZZA0010 FCCC0106 FTTT0131<CR><LF> DRRR0331 DAAA0343 LECB0545 LECM0609 SEL/MSAQ CODE/A154AE PER/C<CR><LF> RMK/RWANDA LD PERMIT 12 06 AC 0354 2026 OVF PERMIT REPUBLIC<CR><LF> DEMOCRATIC CONGO AAC S 0568 0616 26 CENTRAL AFRICAN REPUBLIC 016<CR><LF> 26 DGACM DNA CONGO 0024 O DG DNA STA CHAD 0017 ADAC DG DTA DRTA<CR><LF> NIGER NE V261825N ALGERIA 2667 ANAC BS DIV03 2026 GHANA GAF DGAB<CR><LF> 26 8406 LEMD SLOT GRANTED)
Output	 2026-04-03 07:23:54.51	 FF	 /PRMD=ANGOLA/ADMD=ICAO/C=XX/;LUANDA-MTA-MTCU:00E30E882F29446C	 [GOOVXKXX]	 GOOVXKXX	 030722	 KCMHEJAA	 MTA-GOOO-1	 /PRMD=ANGOLA/ADMD=ICAO/C=XX/;LUANDA-MTA-MTCU:00E30E882F29446C	 ac9rCQA2wxKW	 	 LOC-ID:00E30E882F2944C5*/OU=KCMHEJAA/O=AFTN/PRMD=K/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:58.874	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040303545700036169	 [/OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/]	 /OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 030354	 LTBATHYQ	 /OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040303545700036169	 ac86EwCKz2oA	 	 SLCAMHS040303545700036167*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:59.08	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040304345400039177	 [/OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/]	 /OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 030434	 LTBATHYQ	 /OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040304345400039177	 ac9DcAC4xjgA	 	 SLCAMHS040304345400039164*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:59.119	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040304410500039601	 [/OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/]	 /OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 030440	 LTBATHYQ	 /OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040304410500039601	 ac9E4wCY2w8A	 	 SLCAMHS040304410500039589*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:59.158	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040304413100039621	 [/OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/]	 /OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 030441	 EGKKVIRW	 /OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040304413100039621	 ac9E=AC1CZYA	 	 SLCAMHS040304413100039609*/OU=EGKKVIRW/O=AFTN/PRMD=EG/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-03 07:23:59.195	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040304573300040773	 [/OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/]	 /OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 030457	 LTBATHYQ	 /OU=DRRRZIZXA/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040304573300040773	 ac9IvgC2=0gA	 	 SLCAMHS040304573300040763*/OU=LTBATHYQ/O=AFTN/PRMD=SITA/ADMD=ICAO/C=XX/	 FPL	   	   
