2026.05.20 - 08.13.11

creationTime:Mon Apr 06 00:00:00 UTC 2026-Mon Apr 06 23:59:59 UTC 2026 ,messageType:FPL 
Direction	 Temps de Création	 Prio	 FamilyId	 Destinataires	 First Recipient Address	 FilTim	 Origine	 Circuit	 EMID	 IMID	 Incomplete Pathname	 IPM Identificateur	 Type	 First Reported Recipient	 Code du Motif	 Code de Diagnostic	 Texte
Output	 2026-04-06 00:03:47.203	 FF	 349.1775433826.17689	 [FZZAZQZX]	 FZZAZQZX	 061200	 DNMMZPZX	 MTA-FTTT-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406000346Z-5726	 adL4YgCVR1pu	 	 MTCU-DRRR-1-20260406000346Z-5726:previd=349.1775433826.17689*/CN=DNMMZPZX/OU=DNMM/O=DNMM/PRMD=DN/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:09:23.585	 FF	 349.1775434162.17719	 [DIAPZPZX]	 DIAPZPZX	 061209	 LFBOAFMI	 MTA-DIII-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406000922Z-5753	 adL5sgCVR6KJ	 	 MTCU-DRRR-1-20260406000922Z-5753:previd=349.1775434162.17719*/CN=LFBOAFMI/OU=LFBO/O=LFLF/PRMD=FRANCE/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:12:54.4	 FF	 341.1775434373.5888	 [FTTTZQZX]	 FTTTZQZX	 061212	 DRRRFDPB	 MTA-FTTT-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406001253Z-5795	 adL6hQCVR4Wz	 	 MTCU-DRRR-1-20260406001253Z-5795:previd=341.1775434373.5888*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:12:54.584	 FF	 341.1775434373.5889	 [FTTTZIZX]	 FTTTZIZX	 061212	 DRRRFDPB	 MTA-FTTT-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406001253Z-5796	 adL6hQCVR5G0	 	 MTCU-DRRR-1-20260406001253Z-5796:previd=341.1775434373.5889*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:12:55.112	 FF	 341.1775434373.5890	 [FTTTFDPA]	 FTTTFDPA	 061212	 DRRRFDPB	 MTA-FTTT-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406001253Z-5797	 adL6hQCVR5y1	 	 MTCU-DRRR-1-20260406001253Z-5797:previd=341.1775434373.5890*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:13:17.639	 FF	 341.1775434396.5894	 [FTTTZQZX]	 FTTTZQZX	 061213	 DRRRFDPB	 MTA-FTTT-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406001316Z-5803	 adL6nACVR7q7	 	 MTCU-DRRR-1-20260406001316Z-5803:previd=341.1775434396.5894*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:13:18.331	 FF	 341.1775434397.5896	 [FTTTFDPA]	 FTTTFDPA	 061213	 DRRRFDPB	 MTA-FTTT-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406001317Z-5805	 adL6nQCVRwy9	 	 MTCU-DRRR-1-20260406001317Z-5805:previd=341.1775434397.5896*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:13:19.949	 FF	 341.1775434396.5895	 [FTTTZIZX]	 FTTTZIZX	 061213	 DRRRFDPB	 MTA-FTTT-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406001316Z-5804	 adL6nACVR8e8	 	 MTCU-DRRR-1-20260406001316Z-5804:previd=341.1775434396.5895*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-06 00:13:37.463	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5197	 [KIADMHYA  CYSJAENX]	 KIADMHYA	 061213	 FTTTFDPA	  	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5197	 adL6sQB3LVhE	 	 MTCU-FTTT-1-20260406001221Z-5197:previd=341.1775434341.5928*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-ETH906-IS<CR><LF>-B789/J-SWJ1/CD1<CR><LF>-GABS2255<CR><LF>-N0491F350 DCT NY UG854 FL KITRA ONUDA ASKON<CR><LF>-HAAB0440 HKJK<CR><LF>-DOF/260405 EET/FTTT0230)
Output	 2026-04-06 00:13:37.519	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5197	 [KIADMHYA]	 KIADMHYA	 061213	 FTTTFDPA	 AMH	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5197	 adL6sQB3LVhE	 	 MTCU-FTTT-1-20260406001221Z-5197:previd=341.1775434341.5928*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-06 00:13:38.81	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5198	 [KIADMHYA  CYSJAENX]	 KIADMHYA	 061213	 FTTTFDPA	  	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5198	 adL6sgB3LZ9F	 	 MTCU-FTTT-1-20260406001221Z-5198:previd=341.1775434341.5929*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-ETH906-IS<CR><LF>-B789/J-SWJ1/CD1<CR><LF>-GABS2255<CR><LF>-N0491F350 DCT NY UG854 FL KITRA ONUDA ASKON<CR><LF>-HAAB0440 HKJK<CR><LF>-DOF/260405 EET/FTTT0230)
Output	 2026-04-06 00:13:39.025	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5198	 [KIADMHYA]	 KIADMHYA	 061213	 FTTTFDPA	 AMH	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5198	 adL6sgB3LZ9F	 	 MTCU-FTTT-1-20260406001221Z-5198:previd=341.1775434341.5929*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-06 00:13:40.16	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5199	 [KIADMHYA  CYSJAENX]	 KIADMHYA	 061213	 FTTTFDPA	  	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5199	 adL6tAB3LRxG	 	 MTCU-FTTT-1-20260406001221Z-5199:previd=341.1775434341.5930*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-ETH906-IS<CR><LF>-B789/J-SWJ1/CD1<CR><LF>-GABS2255<CR><LF>-N0491F350 DCT NY UG854 FL KITRA ONUDA ASKON<CR><LF>-HAAB0440 HKJK<CR><LF>-DOF/260405 EET/FTTT0230)
Output	 2026-04-06 00:13:40.225	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5199	 [KIADMHYA]	 KIADMHYA	 061213	 FTTTFDPA	 AMH	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406001221Z-5199	 adL6tAB3LRxG	 	 MTCU-FTTT-1-20260406001221Z-5199:previd=341.1775434341.5930*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-06 00:13:58.965	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;MTCU-GABS-1-20260405234935Z-8132	 [DFFDFDPA]	 DFFDFDPA	 051149	 GABSFDPA	  	 /PRMD=GA/ADMD=ICAO/C=XX/;MTCU-GABS-1-20260405234935Z-8132	 adL6xgBS5L4B	 	 MTCU-GABS-1-20260405234935Z-8132:previd=341.1775432975.8631*/OU=GABSFDPA/O=AFTN/PRMD=GA/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-THY523/A1357-IS-B38M/M-SADE1E2E3FGHIJ1M3RWXYZ/LB1-GABS2315<CR><LF>-N0452F350 BKO UG860 EDGIB/N0458F350 UG860 OG UQ594 DEKAS DCT BANGA<CR><LF>-DRRN0134 DFFD-PBN/A1B1C1D1O1S1S2 NAV/T1T2 SUR/260B DOF/260405<CR><LF> REG/TCLCD EET/DRRR0031 SEL/FLBQ CODE/4BB064 RVR/75 OPR/THY RMK/TCAS<CR><LF> EQUIPPED THY OCC NUMBER 00905075777012)
Input	 2026-04-06 00:14:01.4	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;MTCU-GABS-1-20260405234935Z-8133	 [DFFDZQZX]	 DFFDZQZX	 051149	 GABSFDPA	  	 /PRMD=GA/ADMD=ICAO/C=XX/;MTCU-GABS-1-20260405234935Z-8133	 adL6yQAVlk1Z	 	 MTCU-GABS-1-20260405234935Z-8133:previd=341.1775432975.8632*/OU=GABSFDPA/O=AFTN/PRMD=GA/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-THY523/A1357-IS-B38M/M-SADE1E2E3FGHIJ1M3RWXYZ/LB1-GABS2315<CR><LF>-N0452F350 BKO UG860 EDGIB/N0458F350 UG860 OG UQ594 DEKAS DCT BANGA<CR><LF>-DRRN0134 DFFD-PBN/A1B1C1D1O1S1S2 NAV/T1T2 SUR/260B DOF/260405<CR><LF> REG/TCLCD EET/DRRR0031 SEL/FLBQ CODE/4BB064 RVR/75 OPR/THY RMK/TCAS<CR><LF> EQUIPPED THY OCC NUMBER 00905075777012)
Output	 2026-04-06 00:14:02.335	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;MTCU-GABS-1-20260405234935Z-8132	 [DFFDFDPA]	 DFFDFDPA	 051149	 GABSFDPA	 MTA-DFFF-1	 /PRMD=GA/ADMD=ICAO/C=XX/;MTCU-GABS-1-20260405234935Z-8132	 adL6xgBS5L4B	 	 MTCU-GABS-1-20260405234935Z-8132:previd=341.1775432975.8631*/OU=GABSFDPA/O=AFTN/PRMD=GA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:14:02.908	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;MTCU-GABS-1-20260405234935Z-8133	 [DFFDZQZX]	 DFFDZQZX	 051149	 GABSFDPA	 MTA-DFFF-1	 /PRMD=GA/ADMD=ICAO/C=XX/;MTCU-GABS-1-20260405234935Z-8133	 adL6yQAVlk1Z	 	 MTCU-GABS-1-20260405234935Z-8133:previd=341.1775432975.8632*/OU=GABSFDPA/O=AFTN/PRMD=GA/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:15:34.401	 FF	 349.1775434532.17770	 [GOOVXKXX]	 GOOVXKXX	 061215	 EHAMKLMF	 MTA-GOOO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406001532Z-5820	 adL7JACVR73M	 	 MTCU-DRRR-1-20260406001532Z-5820:previd=349.1775434532.17770*/CN=EHAMKLMF/OU=EHAM/O=EH/PRMD=EH/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:15:34.418	 FF	 349.1775434532.17770	 [DBBBZRZX]	 DBBBZRZX	 061215	 EHAMKLMF	 MTA-DXXX-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406001532Z-5820	 adL7JACVR73M	 	 MTCU-DRRR-1-20260406001532Z-5820:previd=349.1775434532.17770*/CN=EHAMKLMF/OU=EHAM/O=EH/PRMD=EH/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:15:34.503	 FF	 349.1775434532.17770	 [DFFDZPCX]	 DFFDZPCX	 061215	 EHAMKLMF	 MTA-DFFF-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406001532Z-5820	 adL7JACVR73M	 	 MTCU-DRRR-1-20260406001532Z-5820:previd=349.1775434532.17770*/CN=EHAMKLMF/OU=EHAM/O=EH/PRMD=EH/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:15:48.058	 FF	 349.1775434532.17770	 [DXXXZQZX]	 DXXXZQZX	 061215	 EHAMKLMF	 MTA-DXXX-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406001532Z-5820	 adL7JACVR73M	 	 MTCU-DRRR-1-20260406001532Z-5820:previd=349.1775434532.17770*/CN=EHAMKLMF/OU=EHAM/O=EH/PRMD=EH/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:18:44.855	 FF	 349.1775434724.17779	 [DIAPZPZX]	 DIAPZPZX	 061218	 LFBOAFMI	 MTA-DIII-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406001844Z-5828	 adL75ACVRxHU	 	 MTCU-DRRR-1-20260406001844Z-5828:previd=349.1775434724.17779*/CN=LFBOAFMI/OU=LFBO/O=LFLF/PRMD=FRANCE/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:20:53.864	 FF	 349.1775434853.17798	 [DIAPZPZX]	 DIAPZPZX	 061220	 LFBOAFMI	 MTA-DIII-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406002053Z-5841	 adL8ZQCVRxLh	 	 MTCU-DRRR-1-20260406002053Z-5841:previd=349.1775434853.17798*/CN=LFBOAFMI/OU=LFBO/O=LFLF/PRMD=FRANCE/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:21:22.877	 FF	 349.1775434881.17799	 [GOOOZQZX]	 GOOOZQZX	 061220	 DNAAZPZX	 MTA-GOOO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406002121Z-5844	 adL8gQCVR2fk	 	 MTCU-DRRR-1-20260406002121Z-5844:previd=349.1775434881.17799*/CN=DNAAZPZX/OU=DNAA/O=DNKN/PRMD=DN/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:22:51.17	 FF	 349.1775434970.17812	 [DIIIZQZX]	 DIIIZQZX	 061222	 EDDFUAEK	 MTA-DIII-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406002250Z-5848	 adL82gCVRzLo	 	 MTCU-DRRR-1-20260406002250Z-5848:previd=349.1775434970.17812*/CN=EDDFUAEK/OU=EDDF/O=EDGG/PRMD=GERMANY/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:22:51.774	 FF	 349.1775434970.17812	 [GOOVXKXX]	 GOOVXKXX	 061222	 EDDFUAEK	 MTA-GOOO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406002250Z-5848	 adL82gCVRzLo	 	 MTCU-DRRR-1-20260406002250Z-5848:previd=349.1775434970.17812*/CN=EDDFUAEK/OU=EDDF/O=EDGG/PRMD=GERMANY/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:22:52.299	 FF	 349.1775434970.17812	 [DXXXZQZX]	 DXXXZQZX	 061222	 EDDFUAEK	 MTA-DXXX-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406002250Z-5848	 adL82gCVRzLo	 	 MTCU-DRRR-1-20260406002250Z-5848:previd=349.1775434970.17812*/CN=EDDFUAEK/OU=EDDF/O=EDGG/PRMD=GERMANY/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:22:52.306	 FF	 349.1775434970.17812	 [DBBBFPLX]	 DBBBFPLX	 061222	 EDDFUAEK	 MTA-DXXX-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406002250Z-5848	 adL82gCVRzLo	 	 MTCU-DRRR-1-20260406002250Z-5848:previd=349.1775434970.17812*/CN=EDDFUAEK/OU=EDDF/O=EDGG/PRMD=GERMANY/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-06 00:22:57.313	 FF	 349.1775434970.17812	 [DFFDZPCX]	 DFFDZPCX	 061222	 EDDFUAEK	 MTA-DFFF-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260406002250Z-5848	 adL82gCVRzLo	 	 MTCU-DRRR-1-20260406002250Z-5848:previd=349.1775434970.17812*/CN=EDDFUAEK/OU=EDDF/O=EDGG/PRMD=GERMANY/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-06 00:25:22.635	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406002407Z-5225	 [KIADMHYA]	 KIADMHYA	 061225	 FTTTFDPA	  	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406002407Z-5225	 adL9cgB3LXxW	 	 MTCU-FTTT-1-20260406002407Z-5225:previd=341.1775435047.5960*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-BAW9174/A5741-IG<CR><LF>-A388/J-SW/C<CR><LF>-FAOR1925<CR><LF>-N0487F380 GOVEL UT325 FL UG660 KAN<CR><LF>-EGLL0300<CR><LF>-DOF/260405 REG/GXLEG EET/FZZA0200 FCCC0500)
Output	 2026-04-06 00:25:22.723	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406002407Z-5225	 [KIADMHYA]	 KIADMHYA	 061225	 FTTTFDPA	 AMH	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406002407Z-5225	 adL9cgB3LXxW	 	 MTCU-FTTT-1-20260406002407Z-5225:previd=341.1775435047.5960*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-06 00:25:24.462	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406002407Z-5225	 [DNKKZQZX  CYSJAENX]	 DNKKZQZX	 061225	 FTTTFDPA	  	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406002407Z-5225	 adL9dACi5lkA	 	 MTCU-FTTT-1-20260406002407Z-5225:previd=341.1775435047.5960*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-BAW9174/A5741-IG<CR><LF>-A388/J-SW/C<CR><LF>-FAOR1925<CR><LF>-N0487F380 GOVEL UT325 FL UG660 KAN<CR><LF>-EGLL0300<CR><LF>-DOF/260405 REG/GXLEG EET/FZZA0200 FCCC0500)
Output	 2026-04-06 00:25:24.517	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406002407Z-5225	 [DNKKZQZX]	 DNKKZQZX	 061225	 FTTTFDPA	 AMH	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260406002407Z-5225	 adL9dACi5lkA	 	 MTCU-FTTT-1-20260406002407Z-5225:previd=341.1775435047.5960*/OU=FTTTFDPA/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	   
