2026.05.19 - 13.39.27

creationTime:Thu Apr 02 00:00:00 UTC 2026-Thu Apr 02 23:59:59 UTC 2026 ,messageType:FPL 
Direction	 Temps de Création	 Prio	 FamilyId	 Destinataires	 First Recipient Address	 FilTim	 Origine	 Circuit	 EMID	 IMID	 Incomplete Pathname	 IPM Identificateur	 Type	 First Reported Recipient	 Code du Motif	 Code de Diagnostic	 Texte
Output	 2026-04-02 11:04:33.362	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402110301Z-9872	 [CYSJAENX]	 CYSJAENX	 021104	 FTTTFDPA	 ALGER	 NAA2034	 384.1775127873.573	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:04:42.661	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402110301Z-9873	 [HLLLZIZX]	 HLLLZIZX	 021104	 FTTTFDPA	 TRIPOLI	 NLA333	 384.1775127882.577	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:04:42.662	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402110301Z-9873	 [CYSJAENX]	 CYSJAENX	 021104	 FTTTFDPA	 ALGER	 NAA2035	 384.1775127882.577	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:04:52.873	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402110301Z-9874	 [HLLLZQSP]	 HLLLZQSP	 021104	 FTTTFDPA	 TRIPOLI	 NLA334	 384.1775127892.581	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:04:52.873	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402110301Z-9874	 [CYSJAENX]	 CYSJAENX	 021104	 FTTTFDPA	 ALGER	 NAA2036	 384.1775127892.581	 	  	 FPL	   	   	   	   
Input	 2026-04-02 11:05:11.465	 FF	 ANA1322	 [DBBBFPLX  DBBBZRZX  DGACFPLX  DNKKZQZX  DXXXYDYX  DXXXYQYX  DXXXZPZX  DXXXZQZX  DXXXZUZX]	 DBBBFPLX	 021104	 EDDFETHX	  	 ANA1322	 349.1775127911.71	 	  	 FPL	   	   	   	 (FPL-ETH517-IS-B788/H-SADE1E3FGHIJ1J2J3J4J5J7LM1M2OP1P2P3RVWXY/LB1D1-DXXX1255-N0495F370 DCT LM L433 MONOS UL433 POLTO/N0495F370 DCT IKROP/N0487F390 DCT KEMOX UL433 USLOK UQ583 SOLVI DCT ASKON/N0494F370 L558 DASTU UT139 BRO BRO1A-HAAB0447 HDAM-PBN/A1B1C1D1L1O1S2 SUR/RSP180 DOF/260402 REG/ETAOV EET/DNKK0015 FCCC0101 HSSS0315 HAAA0407 SEL/EQAJ CODE/04004C OPR/ETHIOPIAN AIRLINES PER/D RALT/FKKD HUEN RVR/075 RMK/TCAS)
Output	 2026-04-02 11:05:12.362	 FF	 349.1775127911.71	 [DGACFPLX]	 DGACFPLX	 021104	 EDDFETHX	 ACCRA	 NGA263	 349.1775127911.71	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:05:12.799	 FF	 349.1775127911.71	 [DNKKZQZX]	 DNKKZQZX	 021104	 EDDFETHX	 KANO	 NKA692	 349.1775127911.71	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:05:13.222	 FF	 349.1775127911.71	 [DBBBFPLX  DBBBZRZX  DXXXYDYX  DXXXYQYX  DXXXZPZX  DXXXZQZX  DXXXZUZX]	 DBBBFPLX	 021104	 EDDFETHX	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260402110512Z-0050:previd=349.1775127911.71	 349.1775127911.71	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:06:12.933	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040211060900930451	 [DNKKZQZX  DNPOZPZX]	 DNKKZQZX	 021106	 EDDSDCSC	 KANO	 NKA705	 384.1775127972.637	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:07:00.075	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692776-260402.110653	 [CYSJAENX  KIADMHYA]	 CYSJAENX	 021106	 DXXXZPZX	 ALGER	 NAA2040	 384.1775128020.666	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:07:00.076	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692776-260402.110653	 [DRRRFDPI  DRRRFDPB  DRRNYDYX]	 DRRRFDPI	 021106	 DXXXZPZX	 TOPSKY-ATC	 SLT1031	 384.1775128020.666	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:07:00.076	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692776-260402.110653	 [DRRNYDYX]	 DRRNYDYX	 021106	 DXXXZPZX	 ASS_LOCALE	 PNC552	 384.1775128020.666	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:07:00.077	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692776-260402.110653	 [DRRNYDYX]	 DRRNYDYX	 021106	 DXXXZPZX	 AL-AGADEZ-IP	 ZNA542	 384.1775128020.666	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:07:57.753	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692776-260402.110653	 [CYSJAENX]	 CYSJAENX	 021106	 DXXXZPZX	 ALGER	 NAA2045	 384.1775128077.704	 	  	 FPL	   	   	   	   
Input	 2026-04-02 11:10:23.412	 FF	 ANA1327	 [DBBBZRZX  DXXXZUZX  DBBBFPLX  DBBBZPZX  DGACFPLX  DNKKZQZX]	 DBBBZRZX	 021110	 EDDFETHX	  	 ANA1327	 349.1775128223.100	 	  	 FPL	   	   	   	 (FPL-ETH916-IS-B38M/M-SDE1FGHIJ1LORVWXY/HB1-DBBB1230-N0463F350 DCT POLTO L433 LAG UQ200 GADUV/N0463F350 UQ200 TITAS UQ583 UPAVO UG862 SOPOG UT139 ASKON/N0445F310 L558 DASTU UT139 BRO BRO1A-HAAB0504 HADR-PBN/A1B1C1D1L1O1S1S2 SUR/EPGW S WXRD DOF/260402 REG/ETAWG EET/DNKK0005 FCCC0119 HSSS0320 HAAA0419 SEL/BQHM CODE/04016A OPR/ETHIOPIAN AIRLINES PER/D RALT/FEFF HAAB RMK/TCAS)
Output	 2026-04-02 11:10:24.919	 FF	 349.1775128223.100	 [DGACFPLX]	 DGACFPLX	 021110	 EDDFETHX	 ACCRA	 NGA296	 349.1775128223.100	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:10:24.921	 FF	 349.1775128223.100	 [DNKKZQZX]	 DNKKZQZX	 021110	 EDDFETHX	 KANO	 NKA733	 349.1775128223.100	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:10:25.998	 FF	 349.1775128223.100	 [DBBBFPLX  DBBBZPZX  DBBBZRZX  DXXXZUZX]	 DBBBFPLX	 021110	 EDDFETHX	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260402111025Z-0077:previd=349.1775128223.100	 349.1775128223.100	 	  	 FPL	   	   	   	   
Input	 2026-04-02 11:13:21.497	 FF	 ANA1334	 [DRZZZQZX]	 DRZZZQZX	 021113	 EUCHZMFP	  	 ANA1334	 349.1775128401.137	 	  	 FPL	   	   	   	 (FPL-ABD3163-IN-B744/H-SDE2E3FGHIJ3J5M1RWXYZ/LB1D1-HKJK1350-N0503F320 APKUB1A APKUB UQ293 EKMOG DCT IMPOG DCT SIPKI UT325 BUNUG862 KOBNI/N0498F340 UG862 DIR UB730 DJA UM2 BARKA/N0486F360 UM2CSO/N0490F350 DCT CIRTA DCT BUKID/N0487F360 DCT GARPU DCT PIGOS DCTBARSO DCT IRMAR DCT KINES DCT VANAS DCT MOBLO DCT UBIMA DCT GILIRDCT PENDU DCT IXILU/N0441F220 DCT GIVOR DCT SORAL DCT IBERA N853 DIKN852 GESLO-EBLG0811 EBBR-PBN/A1B1C1D1L1O1S1 NAV/GPSRNAV DAT/CPDLCX 1FANS2PDC SUR/CANMANDATEDOF/260402 REG/TFAKD EET/HUEC0029 FZZA0055 FCCC0136 FTTT0205DRRR0412 DAAA0424 LFFF0632 LIMM0718 LFFF0720 LSAS0729 LFFF0732EBUR0755 SEL/JQMS CODE/4CC54A OPR/ABD ORGN/BIRKABDO PER/D RMK/TCASEQUIPPED OPR TEL +3544584420 CALLSIGN ATLANTA)
Output	 2026-04-02 11:13:21.503	 FF	 ANA1334	 [DRRNYDYX  DRRNZPZX]	 DRRNYDYX	 021113	 EUCHZMFP	 ASS_LOCALE	 PNC554	 349.1775128401.137	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:13:21.503	 FF	 349.1775128401.137	 [DRRNYDYX  DRRNZPZX]	 DRRNYDYX	 021113	 EUCHZMFP	 AL-AGADEZ-IP	 ZNA544	 349.1775128401.137	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:13:21.504	 FF	 ANA1334	 [DRRNYDYX  DRRNZPZX  DRRRFDPB  DRRRFDPI]	 DRRNYDYX	 021113	 EUCHZMFP	 TOPSKY-ATC	 SLT1034	 349.1775128401.137	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:13:21.505	 FF	 ANA1334	 [DRRRZQZX]	 DRRRZQZX	 021113	 EUCHZMFP	 CCR_OUEST	 ZQN620	 349.1775128401.137	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:13:21.506	 FF	 ANA1334	 [DRRNZTZX]	 DRRNZTZX	 021113	 EUCHZMFP	 TWR	 ZTN516	 349.1775128401.137	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:13:21.543	 FF	 349.1775128401.137	 [DBBBZRZX  DFFDZPCX  DFFDZPZX  DFFDZQZX  DFFDZTZX  DFFFZOUA  DFFFZQZX  DXXXZQZX  GOOVXKXX]	 DBBBZRZX	 021113	 EUCHZMFP	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260402111321Z-0103:previd=349.1775128401.137	 349.1775128401.137	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:14:36.337	 FF	 384.1775128020.666	 [CYSJAENX  KIADMHYA]	 CYSJAENX	 021106	 DXXXZPZX	 ALGER	 NAA2060	 316.1775128476.11	 	  	 FPL	   	   	   	   
Input	 2026-04-02 11:14:54.274	 FF	 ANA1340	 [DFFDZTZX  DRRNZPZX  DRRNZTZX  DRRRZQZX  DRZZZQZX]	 DFFDZTZX	 021114	 EDDFETHX	  	 ANA1340	 349.1775128494.149	 	  	 FPL	   	   	   	 (FPL-SKK046-IS-B738/M-SDE1FGHILORVWXYZ/HB1-DRRN1630-N0438F320 DCT NY UG854 OG DCT-DFFD0036 DRRN-PBN/A1B1C1D1L1O1S1S2 DAT/CPDLCX SUR/EPGW S WXRD DOF/260402 REG/ETAPM SEL/EQAC OPR/ASKY AIRLINES PER/D RMK/TCAS)
Output	 2026-04-02 11:14:54.278	 FF	 ANA1340	 [DRRNZPZX  DRRNYDYX]	 DRRNZPZX	 021114	 EDDFETHX	 ASS_LOCALE	 PNC556	 349.1775128494.149	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:14:54.279	 FF	 349.1775128494.149	 [DRRNZPZX  DRRNYDYX]	 DRRNZPZX	 021114	 EDDFETHX	 AL-AGADEZ-IP	 ZNA546	 349.1775128494.149	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:14:54.281	 FF	 ANA1340	 [DRRNZPZX  DRRNYDYX  DRRRFDPB  DRRRFDPI]	 DRRNZPZX	 021114	 EDDFETHX	 TOPSKY-ATC	 SLT1037	 349.1775128494.149	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:14:54.281	 FF	 ANA1340	 [DRRNZTZX]	 DRRNZTZX	 021114	 EDDFETHX	 TWR	 ZTN518	 349.1775128494.149	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:14:54.282	 FF	 ANA1340	 [DRRRZQZX]	 DRRRZQZX	 021114	 EDDFETHX	 CCR_OUEST	 ZQN623	 349.1775128494.149	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:14:54.304	 FF	 349.1775128494.149	 [DFFDZTZX  DBBBZRZX  DFFDZPCX  DFFDZPZX  DFFDZQZX  DFFFZOUA  DFFFZQZX  DXXXZQZX  GOOVXKXX]	 DFFDZTZX	 021114	 EDDFETHX	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260402111454Z-0107:previd=349.1775128494.149	 349.1775128494.149	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:16:46.144	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E775523738C	 [CYSJAENX  KIADMHYA]	 CYSJAENX	 021116	 DIAPZPZX	 ALGER	 NAA2061	 384.1775128606.944	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:17:41.57	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402111616Z-9948	 [DNKKZQZX]	 DNKKZQZX	 021117	 FTTTFDPA	 KANO	 NKA786	 384.1775128661.967	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:17:41.571	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402111616Z-9948	 [CYSJAENX]	 CYSJAENX	 021117	 FTTTFDPA	 ALGER	 NAA2064	 384.1775128661.967	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:17:55.095	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402111616Z-9949	 [HLLLZQZX]	 HLLLZQZX	 021117	 FTTTFDPA	 TRIPOLI	 NLA339	 384.1775128675.974	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:17:55.096	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402111616Z-9949	 [CYSJAENX]	 CYSJAENX	 021117	 FTTTFDPA	 ALGER	 NAA2065	 384.1775128675.974	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:06.209	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040211180300931468	 [DNKKZQZX]	 DNKKZQZX	 021117	 KAUSFFLX	 KANO	 NKA790	 384.1775128686.981	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:06.209	 FF	 /PRMD=K/ADMD=ICAO/C=XX/;SLCAMHS040211180300931468	 [DNMMZTZX]	 DNMMZTZX	 021117	 KAUSFFLX	 LAGOS	 ALR816	 384.1775128686.981	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:06.513	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402111616Z-9950	 [HLLLZIZX]	 HLLLZIZX	 021117	 FTTTFDPA	 TRIPOLI	 NLA340	 384.1775128686.985	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:06.514	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402111616Z-9950	 [CYSJAENX]	 CYSJAENX	 021117	 FTTTFDPA	 ALGER	 NAA2066	 384.1775128686.985	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:17.916	 FF	 /PRMD=ANGOLA/ADMD=ICAO/C=XX/;LUANDA-MTA-MTCU:00E30E775A690ADF	 [DNKKZQZX]	 DNKKZQZX	 021115	 FAORZPZX	 KANO	 NKA793	 384.1775128697.989	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:17.917	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402111616Z-9951	 [HLLLZQSP]	 HLLLZQSP	 021117	 FTTTFDPA	 TRIPOLI	 NLA341	 384.1775128697.992	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:17.918	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402111616Z-9951	 [CYSJAENX]	 CYSJAENX	 021117	 FTTTFDPA	 ALGER	 NAA2067	 384.1775128697.992	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:25.127	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692778-260402.111045	 [CYSJAENX]	 CYSJAENX	 021110	 DXXXZPZX	 ALGER	 NAA2068	 384.1775128705.996	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:28.736	 FF	 /PRMD=DB/ADMD=ICAO/C=XX/;bj-coo-cn1.2560205-260402.111538	 [HAAAZQZX  HSSSZQZX  HAABZPZX  HAABZTZX  HAABYOYX  HADRZTZX]	 HAAAZQZX	 021115	 DBBBZPZX	 ADDIS-ABEBA	 NHA115	 384.1775128708.999	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:32.359	 FF	 /PRMD=DB/ADMD=ICAO/C=XX/;bj-coo-cn1.2560205-260402.111538	 [CYSJAENX]	 CYSJAENX	 021115	 DBBBZPZX	 ALGER	 NAA2069	 384.1775128712.1007	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:52.831	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;ml-bko-cn1.2541010-260402.111842	 [DRRRFDPI  DRRRFDPB]	 DRRRFDPI	 021118	 GABSZPZX	 TOPSKY-ATC	 SLT1045	 384.1775128732.1016	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:52.831	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;ml-bko-cn1.2541010-260402.111842	 [CYSJAENX  KIADMHYA]	 CYSJAENX	 021118	 GABSZPZX	 ALGER	 NAA2070	 384.1775128732.1016	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:52.833	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;ml-bko-cn1.2541010-260402.111842	 [HAABZPZX  HAABZTZX  HDAMZTZX  HSSSZQZX  HAAAZQZX  HUENZTZX]	 HAABZPZX	 021118	 GABSZPZX	 ADDIS-ABEBA	 NHA117	 384.1775128732.1020	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:52.834	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;ml-bko-cn1.2541010-260402.111842	 [DNKKZQZX]	 DNKKZQZX	 021118	 GABSZPZX	 KANO	 NKA797	 384.1775128732.1020	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:52.876	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;ml-bko-cn1.2541010-260402.111842	 [DRRNYDYX]	 DRRNYDYX	 021118	 GABSZPZX	 ASS_LOCALE	 PNC559	 384.1775128732.1029	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:52.877	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;ml-bko-cn1.2541010-260402.111842	 [DRRNYDYX]	 DRRNYDYX	 021118	 GABSZPZX	 AL-AGADEZ-IP	 ZNA549	 384.1775128732.1029	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:52.878	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;ml-bko-cn1.2541010-260402.111842	 [DRRNYDYX  DRRRFDPB]	 DRRNYDYX	 021118	 GABSZPZX	 TOPSKY-ATC	 SLT1046	 384.1775128732.1029	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:18:55.085	 FF	 /PRMD=GA/ADMD=ICAO/C=XX/;ml-bko-cn1.2541010-260402.111842	 [CYSJAENX  KIADMHYA]	 CYSJAENX	 021118	 GABSZPZX	 ALGER	 NAA2071	 384.1775128732.1029	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:19:01.848	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692779-260402.111728	 [CYSJAENX]	 CYSJAENX	 021117	 DXXXZPZX	 ALGER	 NAA2073	 384.1775128741.1036	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:19:02.949	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692777-260402.110851	 [CYSJAENX]	 CYSJAENX	 021108	 DXXXZPZX	 ALGER	 NAA2074	 384.1775128742.1039	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:19:09.137	 FF	 384.1775128742.1039	 [CYSJAENX]	 CYSJAENX	 021108	 DXXXZPZX	 ALGER	 NAA2076	 316.1775128749.12	 	  	 FPL	   	   	   	   
Input	 2026-04-02 11:19:26.453	 FF	 ANA1354	 [DBBBFPLX  DBBBZRZX  DGACFPLX  DRRNZPZX  DRRNZTZX  DRRRZQZX  DRZZZQZX  DXXXYDYX  DXXXYQYX  DXXXZTZX  DXXXZUZX]	 DBBBFPLX	 021118	 EDDFETHX	  	 ANA1354	 349.1775128766.179	 	  	 FPL	   	   	   	 (FPL-SKK047-IS-B738/M-SDE1FGHILORVWXYZ/HB1-DRRN0945-N0450F380 DCT NY UA608 TYE UL433 MONOS MONOS1L-DXXX0111 DGAA-PBN/A1B1C1D1L1O1S1S2 DAT/CPDLCX SUR/EPGW S WXRD DOF/260403 REG/ETAPM EET/DGAC0023 SEL/EQAC OPR/ASKY AIRLINES PER/D RMK/TCAS)
Output	 2026-04-02 11:19:26.478	 FF	 ANA1354	 [DRRNZPZX  DRRNYDYX]	 DRRNZPZX	 021118	 EDDFETHX	 ASS_LOCALE	 PNC560	 349.1775128766.179	 	  	 FPL	   	   	   	   
